1,Women and the UN,2
2,Contents,8
2,Contributors,10
3,"Amitav Acharya, Distinguished Professor, American University",10
3,"Roland Burke, Senior Lecturer, History LaTrobe University",10
3,Ellen Chesler,10
3,Rediscovering women in history,20
3,Why are women in history forgotten?,21
3,Advocating for change,22
3,Notes,24
3,Introduction,28
3,Pan-American feminism’s equal rights treaty,29
3,Popular front Pan-American Feminism: From equal rights to human rights,32
3,Towards the United Nations: Women’s rights and human rights,33
3,Pan-American feminism shapes the United Nations,35
3,Pan-American feminist legacies in the UN and human rights,38
3,Bibliography,42
3,How they shaped the UN Charter and why Southern agency is forgotten,44
4,Introduction,44
4,Contesting the global hegemonic orthodoxy: Global IR and feminist critique,46
4,The Latin American contribution to women’s rights at the UNCIO,47
4,Women delegates at the UNCIO,48
4,How women’s rights were included in the UN charter,48
5,The equal rights of men and women,49
5,Nondiscrimination based on sex,49
5,Article 8—Equal participation in the United Nations,50
5,The origins of a separate commission on the status of women,51
4,Southern women delegates and Western resistance,51
4,Human rights and the UN Charter,53
4,Locating agency in the South,53
5,The limitations of third world feminism in locating positive agency from the South,54
3,Conclusion,57
3,Bibliography,63
3,Introduction,66
4,The most remembered: Vijaya Lakshmi Pandit,67
4,The most remembered: Hansa Mehta,70
4,The forgotten envoys: Begum Shareefah Hamid Ali and Lakshmi Menon,73
3,Conclusion,76
3,Notes,76
3,Introduction,82
4,“International welfare feminism” — a hidden historical narrative in the UN?,83
5,Equal pay for women and the need for a separate female division within the ILO,85
5,Resistance from US women’s organisations of all-female UN body,85
5,Reverting the notion of “equal pay” for women,88
5,Equal pay for women—a question for the Commission on the Status of Women?,90
5,International welfare feminism and its relevance today,92
3,Notes,93
3,Bibliography,96
3,Introduction,98
4,Manufacturing monolithic cultures: Colonial cynicism on human rights for women,101
4,Conclusions: Traditional abuses or abuses of tradition?,108
3,Notes,109
3,Bibliography,113
3,Introduction,115
4,History of international conferences on women,116
4,The world plan of action,122
4,Outcome,125
3,Notes,126
3,Bibliography,129
3,Introduction,131
4,Getting to a declaration on women’s rights,132
4,Who was Annie Jiagge?,134
4,Leticia Ramos Shahani and the drafting of the CEDAW,138
4,Conclusion,145
3,Notes,146
3,Bibliography,150
3,Introduction,152
4,From human rights to children’s rights,154
4,Gender and the UN convention on the rights of the Child,156
4,Concluding reflections,160
3,Bibliography,164
3,Introduction,166
4,The Sponsor,166
4,The unlikely genesis of the groundbreaking Security Council resolution,168
4,Advocating to the security council,170
4,Socializing and drafting,172
4,Arria formula meeting,173
4,Conclusion,177
4,Acknowledgement,177
4,Varieties of agency,190
3,Notes,193
3,Bibliography,194
1,Index,196
